[2025-09-11 21:24:16,170: INFO/MainProcess] beat: Starting...
[2025-09-11 21:25:00,050: INFO/MainProcess] Scheduler: Sending due task check-stuck-campaigns (campaigns.tasks.check_all_running_campaigns)
[2025-09-11 21:30:00,110: INFO/MainProcess] Scheduler: Sending due task check-stuck-campaigns (campaigns.tasks.check_all_running_campaigns)
[2025-09-11 21:35:00,107: INFO/MainProcess] Scheduler: Sending due task check-stuck-campaigns (campaigns.tasks.check_all_running_campaigns)
[2025-09-11 21:40:00,086: INFO/MainProcess] Scheduler: Sending due task check-stuck-campaigns (campaigns.tasks.check_all_running_campaigns)
[2025-09-11 21:45:00,107: INFO/MainProcess] Scheduler: Sending due task check-stuck-campaigns (campaigns.tasks.check_all_running_campaigns)
[2025-09-11 21:50:00,145: INFO/MainProcess] Scheduler: Sending due task check-stuck-campaigns (campaigns.tasks.check_all_running_campaigns)
[2025-09-11 21:55:00,098: INFO/MainProcess] Scheduler: Sending due task check-stuck-campaigns (campaigns.tasks.check_all_running_campaigns)
[2025-09-11 22:00:00,096: INFO/MainProcess] Scheduler: Sending due task check-stuck-campaigns (campaigns.tasks.check_all_running_campaigns)
[2025-09-11 22:05:00,105: INFO/MainProcess] Scheduler: Sending due task check-stuck-campaigns (campaigns.tasks.check_all_running_campaigns)
[2025-09-11 22:10:00,106: INFO/MainProcess] Scheduler: Sending due task check-stuck-campaigns (campaigns.tasks.check_all_running_campaigns)
[2025-09-11 22:15:00,108: INFO/MainProcess] Scheduler: Sending due task check-stuck-campaigns (campaigns.tasks.check_all_running_campaigns)
[2025-09-11 22:20:00,104: INFO/MainProcess] Scheduler: Sending due task check-stuck-campaigns (campaigns.tasks.check_all_running_campaigns)
[2025-09-11 22:25:00,106: INFO/MainProcess] Scheduler: Sending due task check-stuck-campaigns (campaigns.tasks.check_all_running_campaigns)
[2025-09-11 22:30:00,110: INFO/MainProcess] Scheduler: Sending due task check-stuck-campaigns (campaigns.tasks.check_all_running_campaigns)
[2025-09-11 22:35:00,103: INFO/MainProcess] Scheduler: Sending due task check-stuck-campaigns (campaigns.tasks.check_all_running_campaigns)
[2025-09-11 22:40:00,198: INFO/MainProcess] Scheduler: Sending due task check-stuck-campaigns (campaigns.tasks.check_all_running_campaigns)
[2025-09-11 22:45:00,105: INFO/MainProcess] Scheduler: Sending due task check-stuck-campaigns (campaigns.tasks.check_all_running_campaigns)
